index,nama,id_ayah
0,Ymir,-1
1,Farbauti,0
2,Agrboda ,0
3,Laufey,0
4,Aegir,0
5,Ran,0
6,Loki,1
7,Heimdal,4
8,horse,-1
9,Fenrir,6
10,Jormungand,6
11,Hel,6
12,Sleipnir,6
13,Audumbla,-1
14,Buri,13
15,Burr,14
16,Tyr,-1
17,Mimir,-1
18,Bestla,-1
19,Odin,15
20,Vili,15
21,Ve,15
22,Hoenir,15
23,Fjorgynn,-1
24,Frigg,24
25,Jord,-1
26,Baldr,19
27,Hodr,19
28,Bragi,19
29,Thor,19
30,Ullr,19
31,Idunn,-1
32,Forseti,26
33,Sif,-1
34,Jarnsaxa,-1
35,Modi,29
36,Thurd,29
37,Magni,29
38,Njord,-1
39,Skadi,-1
40,Freyr,38
41,Freya,38
